crime_id,datetime,date,time,hour,crime_type,crime_category,severity,address,latitude,longitude,district,police_service_area,incident_key,coordinates
31853225,2025-09-19T20:57:00Z,2025-09-19,16:57:00,16,Other Assaults,violent,medium,600 BLOCK W CUMBERLAND ST,39.98922858,-75.14397781,26,1,202526050247,
31849834,2025-09-19T20:57:00Z,2025-09-19,16:57:00,16,Thefts,property,low,4200 BLOCK CHESTNUT ST,39.95675137,-75.20794146,18,3,202518051293,
31852635,2025-09-19T20:43:00Z,2025-09-19,16:43:00,16,Other Assaults,violent,medium,6300 BLOCK CALLOWHILL ST,39.96882853,-75.2469204,19,1,202519061703,
31838820,2025-09-19T20:43:00Z,2025-09-19,16:43:00,16,Aggravated Assault No Firearm,violent,medium,800 BLOCK E Allegheny Ave,39.99649622,-75.11537752,24,2,202524081217,
31849563,2025-09-19T20:42:00Z,2025-09-19,16:42:00,16,Thefts,property,low,6800 BLOCK RISING SUN AVE,40.05543182,-75.09076785,02,2,202502049478,
31861901,2025-09-19T20:41:00Z,2025-09-19,16:41:00,16,Vandalism/Criminal Mischief,property,low,6400 BLOCK N NORWOOD ST,40.0525093,-75.15605821,35,3,202535074983,
31854405,2025-09-19T20:38:00Z,2025-09-19,16:38:00,16,Other Assaults,violent,medium,100 BLOCK S 20TH ST,39.95080011,-75.17377698,09,3,202509109113,
31858743,2025-09-19T20:36:00Z,2025-09-19,16:36:00,16,Other Assaults,violent,medium,600 BLOCK N 55TH ST,39.96933003,-75.23010548,19,2,202519061713,
31849572,2025-09-19T20:36:00Z,2025-09-19,16:36:00,16,Thefts,property,low,2100 BLOCK WASHINGTON AVE,39.93985323,-75.1789289,17,1,202517027594,
31848304,2025-09-19T20:34:00Z,2025-09-19,16:34:00,16,Thefts,property,low,5500 BLOCK OLD YORK RD,40.03756081,-75.14465318,35,2,202535074966,
31845077,2025-09-19T20:33:00Z,2025-09-19,16:33:00,16,Aggravated Assault No Firearm,violent,medium,1500 BLOCK LARDNER ST,40.03441461,-75.07718478,02,1,202502049481,
31839586,2025-09-19T20:32:00Z,2025-09-19,16:32:00,16,Burglary Residential,property,medium,600 BLOCK S 9TH ST,39.94251051,-75.15737586,03,1,202503046655,
31851597,2025-09-19T20:31:00Z,2025-09-19,16:31:00,16,Other Assaults,violent,medium,GERMANTOWN AVE & W CHELTEN AVE,40.03582198,-75.17472532,14,3,202514075140,
31859633,2025-09-19T20:16:00Z,2025-09-19,16:16:00,16,Other Assaults,violent,medium,2800 BLOCK JANNEY ST,39.98641123,-75.11541574,24,2,202524081214,
31866575,2025-09-19T20:15:00Z,2025-09-19,16:15:00,16,Motor Vehicle Theft,property,medium,2200 BLOCK N 2nd St,39.9851945,-75.13626169,26,1,202526050220,
31847609,2025-09-19T20:14:00Z,2025-09-19,16:14:00,16,Thefts,property,low,6600 BLOCK CASTOR AVE,40.04307444,-75.07438041,02,1,202502049472,
31849832,2025-09-19T20:13:00Z,2025-09-19,16:13:00,16,Thefts,property,low,5700 BLOCK WALNUT ST,39.95841709,-75.23570133,18,1,202518051273,
31851589,2025-09-19T20:07:00Z,2025-09-19,16:07:00,16,Other Assaults,violent,medium,6200 BLOCK CLEARVIEW ST,40.0504465,-75.17193286,14,1,202514075133,
31855700,2025-09-19T20:06:00Z,2025-09-19,16:06:00,16,Fraud,other,low,7200 BLOCK SHEARWATER PL,39.90957578,-75.23575414,12,1,202512084167,
31863206,2025-09-19T20:06:00Z,2025-09-19,16:06:00,16,Narcotic / Drug Law Violations,drug,low,500 BLOCK HART LN,39.99285067,-75.12220319,24,2,202524081201,
31864667,2025-09-19T20:03:00Z,2025-09-19,16:03:00,16,Motor Vehicle Theft,property,medium,8000 BLOCK LEON ST,40.04359483,-75.02871749,08,1,202508045200,
31849462,2025-09-19T20:03:00Z,2025-09-19,16:03:00,16,Thefts,property,low,1100 BLOCK CHESTNUT ST,39.94999294,-75.15972322,09,4,202509109089,
31857590,2025-09-19T19:56:00Z,2025-09-19,15:56:00,15,Other Assaults,violent,medium,900 BLOCK GRANITE ST,40.03155821,-75.09165678,02,1,202502049471,
31864716,2025-09-19T19:54:00Z,2025-09-19,15:54:00,15,Motor Vehicle Theft,property,medium,2500 BLOCK S 77TH ST,39.90562695,-75.25112459,12,1,202512084162,
31851270,2025-09-19T19:49:00Z,2025-09-19,15:49:00,15,Other Assaults,violent,medium,5700 BLOCK RISING SUN AVE,40.04235641,-75.10511908,02,2,202502049476,
31852633,2025-09-19T19:48:00Z,2025-09-19,15:48:00,15,Other Assaults,violent,medium,1400 BLOCK N WANAMAKER ST,39.97312876,-75.23686945,19,2,202519061694,
31846451,2025-09-19T19:45:00Z,2025-09-19,15:45:00,15,Thefts,property,low,4300 BLOCK BERMUDA ST,40.00408437,-75.08079979,15,1,202515086987,
31853224,2025-09-19T19:30:00Z,2025-09-19,15:30:00,15,Other Assaults,violent,medium,100 BLOCK E LEHIGH AVE,39.98982121,-75.1292086,26,3,202526050214,
31839227,2025-09-19T19:21:00Z,2025-09-19,15:21:00,15,Aggravated Assault No Firearm,violent,medium,2900 BLOCK S 70th St,39.91343771,-75.23348006,12,1,202512084171,
31838885,2025-09-19T19:20:00Z,2025-09-19,15:20:00,15,Aggravated Assault No Firearm,violent,medium,6800 BLOCK WOODLAND AVE,39.92258944,-75.23910587,12,2,202512084152,
31856031,2025-09-19T19:20:00Z,2025-09-19,15:20:00,15,Fraud,other,low,4000 BLOCK GREEN ST,39.96224457,-75.20288968,16,2,202516045341,
31863536,2025-09-19T19:17:00Z,2025-09-19,15:17:00,15,Other Sex Offenses (Not Commercialized),other,low,5700 BLOCK BALTIMORE AVE,39.94608251,-75.23757129,12,4,202512084150,
31847537,2025-09-19T19:12:00Z,2025-09-19,15:12:00,15,Thefts,property,low,5400 BLOCK LINDBERGH BLV,39.93166673,-75.21502862,12,3,202512084159,
31865968,2025-09-19T19:10:00Z,2025-09-19,15:10:00,15,Motor Vehicle Theft,property,medium,3200 BLOCK MC MICHAEL ST,40.01298975,-75.17782822,39,1,202539070753,
